,device_1_plugged_in,device_2_plugged_in,device_3_plugged_in,device_4_plugged_in,device_5_plugged_in,device_6_plugged_in,device_7_plugged_in,device_1_kWh_charged,device_2_kWh_charged,device_3_kWh_charged,device_4_kWh_charged,device_5_kWh_charged,device_6_kWh_charged,device_7_kWh_charged
2023-10-06 09:15:00+00:00,True,False,False,False,True,False,False,2.269856455555556,0.0,0.0,0.0,0.06105843177387914,0.0,0.0
2023-10-06 09:30:00+00:00,True,False,False,False,True,False,False,2.269856455555556,0.0,0.0,0.0,0.06105843177387914,0.0,0.0
2023-10-06 09:45:00+00:00,True,False,False,False,True,False,False,2.269856455555556,0.0,0.0,0.0,0.06105843177387914,0.0,0.0
2023-10-06 10:00:00+00:00,True,False,False,False,True,False,False,2.269856455555556,0.0,0.0,0.0,0.06105843177387914,0.0,0.0
2023-10-06 10:15:00+00:00,True,False,False,False,True,False,False,2.269856455555556,0.0,0.0,0.0,0.06105843177387914,0.0,0.0
2023-10-06 10:30:00+00:00,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.0
2023-10-06 10:45:00+00:00,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.0
2023-10-06 11:00:00+00:00,False,False,False,False,True,False,True,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 11:15:00+00:00,False,False,False,False,True,False,True,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 11:30:00+00:00,False,False,False,False,True,False,True,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 11:45:00+00:00,False,True,False,False,True,False,True,0.0,1.2240804444444444,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 12:00:00+00:00,False,False,False,False,True,False,True,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 12:15:00+00:00,False,False,False,False,True,False,True,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 12:30:00+00:00,False,False,False,False,True,False,True,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 12:45:00+00:00,False,False,False,False,True,False,True,0.0,0.0,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 13:00:00+00:00,False,True,False,False,True,False,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.0,0.30567235897435896
2023-10-06 13:15:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 13:30:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 13:45:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 14:00:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 14:15:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 14:30:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 14:45:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 15:00:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 15:15:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 15:30:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 15:45:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 16:00:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 16:15:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 16:30:00+00:00,False,True,False,False,True,True,True,0.0,0.45104490740740744,0.0,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 16:45:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 17:00:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 17:15:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 17:30:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 17:45:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 18:00:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 18:15:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 18:30:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 18:45:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 19:00:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 19:15:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 19:30:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 19:45:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 20:00:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 20:15:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 20:30:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 20:45:00+00:00,False,True,True,False,True,True,True,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.30567235897435896
2023-10-06 21:00:00+00:00,False,True,True,False,True,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.06105843177387914,0.23637101101532565,0.0
2023-10-06 21:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 21:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 21:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 22:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 22:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 22:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 22:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 23:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 23:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 23:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-06 23:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 00:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 00:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 00:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 00:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 01:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 01:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 01:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 01:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 02:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 02:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 02:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 02:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 03:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 03:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 03:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 03:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 04:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 04:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 04:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 04:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 05:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 05:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 05:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 05:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 06:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 06:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.03982055545267489,0.0,0.0,0.23637101101532565,0.0
2023-10-07 06:30:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 06:45:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 07:00:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 07:15:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 07:30:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 07:45:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 08:00:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 08:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 08:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 08:45:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 09:00:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 09:15:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 09:30:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 09:45:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 10:00:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 10:15:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 10:30:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 10:45:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 11:00:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 11:15:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 11:30:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 11:45:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 12:00:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 12:15:00+00:00,True,True,True,False,False,True,False,1.4855839642857143,0.45104490740740744,1.1170867125,0.0,0.0,0.23637101101532565,0.0
2023-10-07 12:30:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 12:45:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 13:00:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 13:15:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 13:30:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 13:45:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 14:00:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 14:15:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 14:30:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 14:45:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 15:00:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 15:15:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 15:30:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 15:45:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 16:00:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 16:15:00+00:00,False,True,False,False,False,True,False,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.0
2023-10-07 16:30:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 16:45:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 17:00:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 17:15:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 17:30:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 17:45:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 18:00:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 18:15:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 18:30:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 18:45:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 19:00:00+00:00,False,True,False,False,False,True,True,0.0,0.45104490740740744,0.0,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 19:15:00+00:00,False,True,True,False,False,True,True,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 19:30:00+00:00,False,True,True,False,False,True,True,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 19:45:00+00:00,False,True,True,False,False,True,True,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 20:00:00+00:00,False,True,True,False,False,True,True,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.8510025555555556
2023-10-07 20:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 20:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 20:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 21:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 21:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 21:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 21:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 22:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 22:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 22:30:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 22:45:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 23:00:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
2023-10-07 23:15:00+00:00,False,True,True,False,False,True,False,0.0,0.45104490740740744,0.5802370844594595,0.0,0.0,0.23637101101532565,0.0
